milk is a kind of food  & (S (NP (NN milk)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
the cell cycle is when a cell forms new cells  & (S (NP (DT the) (NN cell) (NN cycle)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (DT a) (NN cell)) (VP (VBZ forms) (NP (JJ new) (NNS cells))))))) 
sunight is a kind of energy that plants use to make food  & (S (NP (NNP sunight)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (PP (IN of) (NP (NN energy))) (SBAR (WHNP (WDT that)) (S (NP (NNS plants)) (VP (VBP use) (S (VP (TO to) (VP (VB make) (NP (NN food)))))))))))) 
dairy is a kind of food  & (S (NP (NNP dairy)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
cutting down a forest means cutting down the trees in that forest  & (S (S (VP (VBG cutting) (PRT (RP down)) (NP (DT a) (NN forest)))) (VP (VBZ means) (S (VP (VBG cutting) (PRT (RP down)) (NP (NP (DT the) (NNS trees)) (PP (IN in) (NP (DT that) (NN forest)))))))) 
an airplane can move people to far away places quickly  & (S (NP (DT an) (NN airplane)) (VP (MD can) (VP (VB move) (NP (NNS people)) (PP (TO to) (NP (ADJP (RB far) (VB away)) (NNS places)) (ADVP (RB quickly)))))) 
a magnifying glass is a kind of tool for observing small things  & (S (NP (DT a) (VBG magnifying) (NN glass)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN tool)) (PP (IN for) (S (VP (VBG observing) (NP (JJ small) (NNS things))))))))) 
an mixture is formed by two or more substances combined together physically  & (S (NP (DT an) (NN mixture)) (VP (VBZ is) (VP (VBN formed) (PP (IN by) (NP (NP (QP (CD two) (CC or) (JJR more)) (NNS substances)) (VP (VBN combined) (ADVP (ADVP (RB together)) (ADVP (RB physically))))))))) 
a tree and grass are both kinds of plants  & (S (NP (DT a) (NN tree) (CC and) (NN grass)) (VP (VBP are) (NP (NP (DT both) (NNS kinds)) (PP (IN of) (NP (NNS plants)))))) 
soil contains nutrients for plants  & (S (NP (NN soil)) (VP (VBZ contains) (NP (NP (NNS nutrients)) (PP (IN for) (NP (NNS plants)))))) 
snowstorm is a kind of weather  & (S (NP (NN snowstorm)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN weather)))))) 
animals obtain nutrients through the method of consumption  & (S (NP (NNS animals)) (VP (VBP obtain) (NP (NNS nutrients)) (PP (IN through) (NP (NP (DT the) (NN method)) (PP (IN of) (NP (NN consumption))))))) 
a plant is a kind of organsim  & (S (NP (DT a) (NN plant)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ organsim)))))) 
remains is similar to dead organisms  & (S (S (VP (VBZ remains))) (VBZ is) (ADJP (JJ similar) (PP (IN to) (NP (JJ dead) (NNS organisms))))) 
methane reacting with oxygen is a kind of combustion reaction  & (S (NP (NP (NN methane)) (VP (VBG reacting) (PP (IN with) (NP (NN oxygen))))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN combustion) (NN reaction)))))) 
bone cells are a part of the body  & (S (NP (NN bone) (NNS cells)) (VP (VBP are) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT the) (NN body)))))) 
colder means a decrease in heat energy  & (S (NP (NNP colder)) (VP (VBZ means) (NP (NP (DT a) (NN decrease)) (PP (IN in) (NP (NN heat) (NN energy)))))) 
useful means good to use  & (ADJP (ADJP (JJ useful)) (VBZ means) (ADJP (JJ good) (TO to) (VP (VB use)))) 
the liquid aluminum has definite volume  & (S (NP (DT the) (JJ liquid) (NN aluminum)) (VP (VBZ has) (NP (JJ definite) (NN volume)))) 
an eraser will have the same shape when moved to a different spot  & (S (NP (DT an) (NN eraser)) (VP (MD will) (VP (VB have) (NP (DT the) (JJ same) (NN shape)) (SBAR (WHADVP (WRB when)) (S (VP (VBD moved) (PP (IN to) (NP (DT a) (JJ different) (NN spot))))))))) 
the needle of a pine tree makes food for pine trees by photosynthesis  & (S (NP (NP (DT the) (NN needle)) (PP (IN of) (NP (DT a) (JJ pine) (NN tree)))) (VP (VBZ makes) (NP (NN food)) (PP (IN for) (NP (NN pine) (NNS trees))) (PP (IN by) (NP (NN photosynthesis))))) 
removing trees is a kind of task  & (S (S (VP (VBG removing) (NP (NNS trees)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN task)))))) 
the ice cube will absorb solar energy  & (S (NP (DT the) (NN ice) (NN cube)) (VP (MD will) (VP (VB absorb) (NP (JJ solar) (NN energy))))) 
something can be squeezed through something else in order to help it pass through that something else  & (S (NP (NN something)) (VP (MD can) (VP (VB be) (VP (VBN squeezed) (PP (IN through) (NP (NP (NN something)) (RB else))) (PP (IN in) (NN order)) (TO to) (VP (VB help) (S (NP (PRP it)) (VP (VB pass) (IN through) (NP (NP (DT that) (NN something)) (RB else))))))))) 
there are humans on earth  & (S (NP (EX there)) (VP (VBP are) (NP (NNS humans)) (PP (IN on) (NP (NN earth))))) 
fertile soil is high in amount of nitrogen  & (S (NP (JJ fertile) (NN soil)) (VP (VBZ is) (ADJP (JJ high) (PP (IN in) (NP (NP (NN amount)) (PP (IN of) (NP (NN nitrogen)))))))) 
Precambrian is a kind of ancient era on Earth  & (S (NP (NNP Precambrian)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (JJ ancient) (NN era)) (PP (IN on) (NP (NNP Earth)))))))) 
rubbing wool on rubber causes static electricity  & (S (S (VP (VBG rubbing) (NP (NN wool)) (PP (IN on) (NP (NN rubber))))) (VP (VBZ causes) (NP (JJ static) (NN electricity)))) 
if a rock has light  colored layers and dark  colored layers then that rock has different colored layers  & (SBAR (IN if) (S (NP (DT a) (NN rock)) (VP (VBZ has) (NP (NP (VBN light) (JJ colored) (NNS layers)) (CC and) (NP (JJ dark) (JJ colored) (NNS layers))))) (ADVP (RB then)) (NP (IN that) (NN rock)) (VP (VBZ has) (NP (JJ different) (VBN colored) (NNS layers)))) 
mosquitos can sense carbon dioxide in the air  & (S (NP (NNS mosquitos)) (VP (MD can) (VP (VB sense) (NP (NN carbon) (NN dioxide)) (PP (IN in) (NP (DT the) (NN air)))))) 
smell is a kind of sense  & (S (NP (NNP smell)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN sense)))))) 
cold fronts cause precipitation as they pass by  & (S (NP (JJ cold) (NNS fronts)) (VP (VB cause) (NP (NN precipitation)) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP pass) (ADVP (RB by))))))) 
the offspring plant having pink flowers is an example of incomplete dominance  & (S (NP (NP (DT the) (NN offspring) (NN plant)) (VP (VBG having) (NP (JJ pink) (NNS flowers)))) (VBZ is) (NP (NP (DT an) (NN example)) (PP (IN of) (NP (JJ incomplete) (NN dominance))))) 
if an object breaks off of another object then that object is formed from the same materials as that other object  & (S (SBAR (IN if) (S (NP (DT an) (NN object)) (VP (VBZ breaks) (PP (IN off) (PP (IN of) (NP (DT another) (NN object))))))) (RB then) (NP (DT that) (NN object)) (VP (VBZ is) (VP (VBN formed) (PP (IN from) (NP (NP (DT the) (JJ same) (NNS materials)) (PP (IN as) (NP (DT that) (JJ other) (NN object)))))))) 
scraping oneself on a contaminated object may cause infection  & (S (S (VP (VBG scraping) (NP (PRP oneself)) (PP (IN on) (NP (DT a) (JJ contaminated) (NN object))))) (VP (MD may) (VP (VB cause) (NP (NN infection))))) 
magnesium is a substance that is flammable  & (S (NP (NNP magnesium)) (VP (VBZ is) (NP (NP (DT a) (NN substance)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (ADJP (JJ flammable)))))))) 
overgrazing can result in desertification by increasing topsoil erosion  & (S (NP (NN overgrazing)) (VP (MD can) (VP (VB result) (PP (IN in) (NP (NN desertification))) (PP (IN by) (S (VP (VBG increasing) (NP (NN topsoil) (NN erosion)))))))) 
the white t  shirt will reflect more light than the dark blue t  shirt  & (S (NP (DT the) (NNP white) (NNP t) (NN shirt)) (VP (MD will) (VP (VB reflect) (NP (NP (JJR more) (NN light)) (PP (IN than) (NP (DT the) (JJ dark) (JJ blue) (NN t) (NN shirt))))))) 
wind direction is a property of weather  & (S (NP (NN wind) (NN direction)) (VP (VBZ is) (NP (NP (DT a) (NN property)) (PP (IN of) (NP (NN weather)))))) 
producers get energy by using the sun to make food  & (S (NP (NNS producers)) (VP (VBP get) (NP (NN energy)) (PP (IN by) (S (VP (VBG using) (NP (DT the) (NN sun)) (S (VP (TO to) (VP (VB make) (NP (NN food)))))))))) 
driving is a kind of skill for operating a vehicle  & (S (NP (NN driving)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN skill))) (IN for) (S (VP (VBG operating) (NP (DT a) (NN vehicle))))))) 
overgrazing can result in desertification by increasing the rate at which topsoil is eroded  & (S (NP (NN overgrazing)) (VP (MD can) (VP (VB result) (PP (IN in) (NP (NN desertification))) (PP (IN by) (S (VP (VBG increasing) (NP (NP (DT the) (NN rate)) (SBAR (WHPP (IN at) (WHNP (WDT which))) (S (NP (NN topsoil)) (VP (VBZ is) (VP (VBN eroded)))))))))))) 
to collect means to gather  & (S (VP (TO to) (VP (VB collect) (NP (NNS means)) (SBAR (S (VP (TO to) (VP (VB gather)))))))) 
a light bulb is used for seeing in the dark  & (S (NP (DT a) (JJ light) (NN bulb)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG seeing) (PP (IN in) (NP (DT the) (NN dark))))))))) 
a camper is a kind of human  & (S (NP (DT a) (NN camper)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ human)))))) 
an example of an instinctive behavior is a bird building a nest  & (S (NP (NP (DT an) (NN example)) (PP (IN of) (NP (DT an) (JJ instinctive) (NN behavior)))) (VP (VBZ is) (NP (NP (DT a) (NN bird)) (VP (VBG building) (NP (DT a) (NN nest)))))) 
wood is a kind of nonmetal  & (S (NP (NN wood)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ nonmetal)))))) 
a rain gauge is a kind of graduated cylinder  & (S (NP (DT a) (NN rain) (NN gauge)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (VBN graduated) (NN cylinder)))))) 
comparing skeletons of an animal that lived long ago and skeletons of the same species of animal that lived recently can be used to show the evolution of that species  & (S (VBG comparing) (NP (NP (NP (NNS skeletons)) (PP (PP (IN of) (NP (DT an) (NN animal))) (SBAR (WHNP (WDT that)) (S (VP (VBD lived) (ADVP (RB long) (RB ago))))))) (CC and) (NP (NP (NNS skeletons)) (PP (IN of) (NP (NP (NP (DT the) (JJ same) (NNS species)) (PP (IN of) (NP (NN animal)))) (SBAR (WHNP (WDT that)) (S (VP (VBD lived) (ADVP (RB recently))))))))) (MD can) (VP (VB be) (VP (VBN used) (S (VP (TO to) (VP (VB show) (NP (NP (DT the) (NN evolution)) (PP (IN of) (NP (DT that) (NNS species)))))))))) 
oxygen is a part of many organic molecules  & (S (NP (NN oxygen)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (JJ many) (JJ organic) (NNS molecules)))))) 
the ground radiates solar energy into air  & (S (NP (DT the) (NN ground)) (VP (VBZ radiates) (NP (JJ solar) (NN energy)) (PP (IN into) (NP (NN air))))) 
returning is similar to entering  & (S (S (VP (VBG returning))) (VP (VBZ is) (ADJP (JJ similar) (PP (IN to) (S (VP (VBG entering))))))) 
oscillation means physical vibration  & (S (NP (NN oscillation)) (VP (VBZ means) (NP (JJ physical) (NN vibration)))) 
making furniture requires sturdy materials  & (S (S (VP (VBG making) (NP (NN furniture)))) (VP (VBZ requires) (NP (JJ sturdy) (NNS materials)))) 
the pond is poisonous because of toxic chemicals  & (S (NP (DT the) (NN pond)) (VP (VBZ is) (ADJP (JJ poisonous)) (PP (IN because) (IN of) (NP (JJ toxic) (NNS chemicals))))) 
cold environments contain few organisms  & (S (NP (JJ cold) (NNS environments)) (VP (VBP contain) (NP (JJ few) (NNS organisms)))) 
jogging is similar to running  & (S (NP (NNP jogging)) (VP (VBZ is) (ADJP (JJ similar) (PP (IN to) (S (VP (VBG running))))))) 
many types of molecules can be formed by carbon with covalent bonds  & (S (NP (NP (JJ many) (NNS types)) (PP (IN of) (NP (NNS molecules)))) (VP (MD can) (VP (VB be) (VP (VBN formed) (PP (IN by) (NP (NN carbon))) (PP (IN with) (NP (NN covalent) (NNS bonds))))))) 
1 yard equals to 09 meter  & (NP (NP (CD 1) (NN yard)) (NNS equals) (PP (IN to) (NP (CD 09) (NN meter)))) 
least is the opposite of greatest  & (S (ADVP (JJS least)) (VP (VBZ is) (NP (NP (DT the) (NN opposite)) (PP (IN of) (NP (JJS greatest)))))) 
dna are made of two sequences of nucleotides linked together  & (S (NP (NNP dna)) (VP (VBP are) (VP (VBN made) (PP (IN of) (NP (NP (CD two) (NNS sequences)) (PP (IN of) (NP (NNS nucleotides))) (VP (VBN linked) (ADVP (RB together)))))))) 
1 day is equal to 24 hours  & (S (NP (CD 1) (NN day)) (VP (VBZ is) (JJ equal) (PP (IN to) (NP (CD 24) (NNS hours))))) 
bacteria and microorganisms return nutrients from dead organisms to the soil  & (S (NP (NNS bacteria) (CC and) (NNS microorganisms)) (VP (VBP return) (NP (NP (NNS nutrients)) (PP (IN from) (NP (JJ dead) (NNS organisms)))) (PP (IN to) (NP (DT the) (NN soil))))) 
if an object has a negative net charge then that object contains more electrons than protons  & (S (SBAR (IN if) (S (NP (DT an) (NN object)) (VP (VBZ has) (NP (DT a) (JJ negative) (JJ net) (NN charge))))) (RB then) (NP (DT that) (NN object)) (VP (VBZ contains) (NP (NP (JJR more) (NNS electrons)) (PP (IN than) (NP (NNS protons)))))) 
the northern hemisphere is tilted away from the sun when alaska is in winter  & (S (NP (DT the) (JJ northern) (NNP hemisphere)) (VP (VBZ is) (VP (VBN tilted) (ADVP (RB away) (PP (IN from) (NP (DT the) (NN sun)))) (SBAR (WHADVP (WRB when)) (S (NP (NNP alaska)) (VP (VBZ is) (PP (IN in) (NP (NN winter))))))))) 
most chloroplasts are found in the leaves of a plant  & (S (NP (JJS most) (NNS chloroplasts)) (VP (VBP are) (VP (VBN found) (PP (IN in) (NP (NP (DT the) (NNS leaves)) (PP (IN of) (NP (DT a) (NN plant)))))))) 
an object has a small volume and large mass  & (S (NP (DT an) (NN object)) (VP (VBZ has) (NP (DT a) (JJ small) (NN volume) (CC and) (NP (JJ large) (NN mass))))) 
mitosis produces two diploid cells from a diploid parent cell  & (S (NP (NNP mitosis)) (VP (VBZ produces) (NP (NP (CD two) (JJ diploid) (NNS cells)) (PP (IN from) (NP (DT a) (JJ diploid) (NN parent) (NN cell)))))) 
rest is a kind of activity  & (S (NP (NN rest)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN activity)))))) 
kinetic energy is a kind of mechanical energy  & (S (NP (NNP kinetic) (NNP energy)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ mechanical) (NN energy)))))) 
evacuation orders can be found on news  & (S (NP (NN evacuation) (NNS orders)) (VP (MD can) (VP (VB be) (VP (VBN found) (PP (IN on) (NP (NN news))))))) 
echo will not be produced  & (S (NP (NNP echo)) (VP (MD will) (RB not) (VP (VB be) (VP (VBN produced))))) 
glaciers are a kind of major reservoir  & (S (NP (NNS glaciers)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ major) (NN reservoir)))))) 
a battery contains chemical energy  & (S (NP (DT a) (NN battery)) (VP (VBZ contains) (NP (NN chemical) (NN energy)))) 
light pollution is made of light  & (S (NP (JJ light) (NN pollution)) (VP (VBZ is) (VP (VBN made) (PP (IN of) (NP (NN light)))))) 
a class of something means a type of something  & (S (NP (NP (DT a) (NN class)) (PP (IN of) (NP (NN something)))) (VP (VBZ means) (NP (NP (DT a) (NN type)) (PP (IN of) (NP (NN something)))))) 
the small particles of a rock scraped by the glacier can make up soil  & (S (NP (NP (DT the) (JJ small) (NNS particles)) (PP (IN of) (NP (NP (DT a) (NN rock)) (VP (VBN scraped) (PP (IN by) (NP (DT the) (NN glacier))))))) (VP (MD can) (VP (VB make) (PRT (RP up)) (NP (NN soil))))) 
a bird and a rabbit are living things  & (S (NP (NP (DT a) (NN bird)) (CC and) (NP (DT a) (NN rabbit))) (VP (VBP are) (VP (VBG living) (NP (NNS things))))) 
refrigerators contain harmful chemicals  & (S (NP (NNS refrigerators)) (VP (VBP contain) (NP (JJ harmful) (NNS chemicals)))) 
conservation is often conserving natural resources  & (S (NP (NN conservation)) (VP (VBZ is) (ADVP (RB often)) (VP (VBG conserving) (NP (JJ natural) (NNS resources))))) 
the metal spoon will get hot  & (S (NP (DT the) (NN metal) (NN spoon)) (VP (MD will) (VP (VB get) (ADJP (JJ hot))))) 
An example of growth is an organism developing a new part  & (S (NP (NP (DT An) (NN example)) (PP (IN of) (NP (NN growth)))) (VP (VBZ is) (NP (NP (DT an) (NN organism)) (VP (VBG developing) (NP (DT a) (JJ new) (NN part)))))) 
fungi absorb nutrients from decaying tissue  & (S (NP (NNP fungi)) (VP (VBP absorb) (NP (NNS nutrients)) (PP (IN from) (NP (VBG decaying) (NN tissue))))) 
Scorpio is a kind of constellation  & (S (NP (NNP Scorpio)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN constellation)))))) 
poisoning an environment means poisoning the organisms in that environment  & (S (S (VP (VBG poisoning) (NP (DT an) (NN environment)))) (VP (VBZ means) (S (VP (VBG poisoning) (NP (NP (DT the) (NNS organisms)) (PP (IN in) (NP (DT that) (NN environment)))))))) 
sound wave is formed by the vibration of the source spreading around from the source  & (S (NP (JJ sound) (NN wave)) (VP (VBZ is) (VP (VBN formed) (PP (IN by) (NP (NP (DT the) (NN vibration)) (PP (IN of) (NP (NP (DT the) (NN source)) (VP (VBG spreading) (PRT (RP around)) (PP (IN from) (NP (DT the) (NN source))))))))))) 
negative impact is the opposite of positive impact  & (S (NP (JJ negative) (NN impact)) (VP (VBZ is) (NP (NP (DT the) (NN opposite)) (PP (IN of) (NP (JJ positive) (NN impact)))))) 
the mars rover is a kind of object  & (S (NP (DT the) (NNP mars) (NNP rover)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
hiding can have a positive impact on an animal s survival  & (S (NP (NN hiding)) (VP (MD can) (VP (VB have) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (DT an) (NN animal) (POS s) (NN survival))))))) 
a light bulb can help generate light for reading  & (S (NP (DT a) (JJ light) (NN bulb)) (VP (MD can) (VP (VB help) (S (VP (VB generate) (NP (NN light)) (PP (IN for) (NP (NN reading)))))))) 
the water will increase in temperature  & (S (NP (DT the) (NN water)) (VP (MD will) (VP (VB increase) (PP (IN in) (NP (NN temperature)))))) 
height is a property of the size of an object  & (S (NP (NN height)) (VP (VBZ is) (NP (NP (DT a) (NN property)) (PP (IN of) (NP (NP (DT the) (NN size)) (PP (IN of) (NP (DT an) (NN object)))))))) 
the dark half of the moon is not visible  & (S (NP (NP (DT the) (JJ dark) (NN half)) (PP (IN of) (NP (DT the) (NN moon)))) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ visible))))) 
boiling causes the volume of a liquid to decrease  & (S (NP (VBG boiling)) (VP (VBZ causes) (NP (NP (DT the) (NN volume)) (PP (IN of) (NP (DT a) (NN liquid)))) (S (VP (TO to) (VP (VB decrease)))))) 
an object exerts an upward force objects that sit on that object  & (S (NP (DT an) (NN object)) (VP (VBZ exerts) (NP (NP (DT an) (JJ upward) (NN force) (NNS objects)) (SBAR (WHNP (WDT that)) (S (VP (VBP sit) (PP (IN on) (NP (DT that) (NN object))))))))) 
siberian tigers are likely to go extinct  & (S (NP (JJ siberian) (NNS tigers)) (VP (VBP are) (ADJP (JJ likely) (S (VP (TO to) (VP (VB go) (ADJP (JJ extinct)))))))) 
sensing sounds can be used for hunting prey  & (S (S (VP (VBG sensing) (NP (NNS sounds)))) (VP (MD can) (VP (VB be) (VP (VBN used) (PP (IN for) (NP (VBG hunting) (NN prey))))))) 
heavy means a large amount of weight  & (S (NP (JJ heavy)) (VP (VBZ means) (NP (NP (DT a) (JJ large) (NN amount)) (PP (IN of) (NP (NN weight)))))) 
water is a kind of liquid  & (S (NP (NN water)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN liquid)))))) 
